"Display ID","ID","Last Name","First Name","grade","Submission Date","Late Submission"
38087170_38087170_UTEW221V_1,38087170_38087170_UTEW221V_1,,,69,,
38836289_38836289_UTEW221V_1,38836289_38836289_UTEW221V_1,,,30,,
42057078_42057078_UTEW221V_1,42057078_42057078_UTEW221V_1,,,38,,
40015572_40015572_UTEW221V_1.,40015572_40015572_UTEW221V_1.,,,82,,
43010547_43010547_UTEW221V_1+1,43010547_43010547_UTEW221V_1+1,,,68,,
42494346_42494346_UTEW221V,42494346_42494346_UTEW221V,,,77,,
41744829_ASSIGNMENT1_UTEW224V,41744829_ASSIGNMENT1_UTEW224V,,,82,,
41031768_41031768_UTEW221V_1,41031768_41031768_UTEW221V_1,,,90,,
39421112_39421112_ UTEW221V_1,39421112_39421112_ UTEW221V_1,,,68,,
41669088_GROUP_ASSIGNMENT1_UTEW221,41669088_GROUP_ASSIGNMENT1_UTEW221,,,75,,
42803233_42925894_UTEW221V_1,42803233_42925894_UTEW221V_1,,,30,,
34341102_34341102_ UTEW221V_1,34341102_34341102_ UTEW221V_1,,,70,,
42932602_UTEW_ GROUP ASSIGNMENT 1,42932602_UTEW_ GROUP ASSIGNMENT 1,,,82,,
40903567_40903567_UTEW221V_1+1,40903567_40903567_UTEW221V_1+1,,,25,,
37511130_37511130_UTEW221V_1,37511130_37511130_UTEW221V_1,,,90,,
43357423_43357423_UTEW221V_1,43357423_43357423_UTEW221V_1,,,45,,
36319236_Assignment 1- UTEW221,36319236_Assignment 1- UTEW221,,,75,,
38221764_38221764_UTEW221V_1,38221764_38221764_UTEW221V_1,,,48,,
40735060_utew 221 assignment .,40735060_utew 221 assignment .,,,63,,
37416065_37416065_UTEW221V_1,37416065_37416065_UTEW221V_1,,,82,,
37580310_37580310_UTEW221V_1,37580310_37580310_UTEW221V_1,,,75,,
44930712_44930712_UTEW221V_1,44930712_44930712_UTEW221V_1,,,92,,
42109507_ASSIGNMENT 1_UTEW221V,42109507_ASSIGNMENT 1_UTEW221V,,,75,,
38987848_38987848_UTEW221V_1,38987848_38987848_UTEW221V_1,,,75,,
43970869_43970869_UTEW221V_1,43970869_43970869_UTEW221V_1,,,75,,
34681213_34681213_UTEW221V_1,34681213_34681213_UTEW221V_1,,,75,,
37408550_UTEW221  ASSIGNMENT 1,37408550_UTEW221  ASSIGNMENT 1,,,68,,
44408269_44408269UTEW221V_1,44408269_44408269UTEW221V_1,,,10,,
36289582_36289582_UTEW221V_1,36289582_36289582_UTEW221V_1,,,43,,
42925894_42925894_UTEW221V_1,42925894_42925894_UTEW221V_1,,,0,,
41528042_41528042_UTEW221V_1,41528042_41528042_UTEW221V_1,,,60,,
39342352_UTEW221V VL 2023,39342352_UTEW221V VL 2023,,,45,,
43490506_43490506_UTEW221V_1,43490506_43490506_UTEW221V_1,,,40,,
